"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Male Civilian Population 16 to 19 Years:","Male Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Male Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Female Civilian Population 16 to 19 Years:","Female Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Female Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Average Household Income (In 2017 Inflation Adjusted Dollars):","Average Household Income (In 2017 Inflation Adjusted Dollars): White Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Black or African American Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Asian Alone","Average Household Income (In 2017 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Some Other Race Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Two or More Races Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Hispanic or Latino Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A14009_001,SE_A14009_002,SE_A14009_003,SE_A14009_004,SE_A14009_005,SE_A14009_006,SE_A14009_007,SE_A14009_008,SE_A14009_009,SE_A14009_010
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344832,15196,329636,330466,11488,318978,78192.1115411821,81631.8366342259,50368.3919891036,49585.730567586,100287.131799696,64602.6714158504,46466.7026030215,62605.0488188976,53696.5071956437,82449.1227817012
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30731,1192,29539,30415,934,29481,82407.0944207675,86725.6927944805,53525.9067580972,43440.1221995927,89470.8675967846,57229.3617021277,44563.8663101604,63836.3963704451,48592.1204412377,89140.5598201608
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133957,6547,127410,126746,4012,122734,66759.0158108744,75331.7209834799,44605.6801964276,51505.4202401372,79597.4989897176,39108.5798816568,44851.586582049,54900.2823236673,53777.2037772935,75962.303301122
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23265,1078,22187,21908,1000,20908,71084.9430562838,73960.2670190289,43724.395029431,38310.6899744051,71457.1180052189,50096.8992248062,49703.3053515215,50318.5107995453,56371.0337352662,74158.3610868533
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173238,6581,166657,163317,4434,158883,68385.9539948665,72386.4804428225,48493.6644281454,58963.046564452,94349.0217617196,55881.9244604317,44833.460485572,58595.1924191492,54683.2202408523,72815.3195570801
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798549,41310,757239,760778,30168,730610,80878.6020960468,84890.7053985667,58290.6820010588,68830.0891861761,107959.032867204,71542.1155582305,55863.4731024053,75137.0174194796,59076.8507901194,97458.4919031144
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93992,4831,89161,90883,3047,87836,83147.2356705546,85034.0767432109,61346.9824717107,57859.6088930276,84770.2938247012,71219.4050033807,54741.786163522,74686.561505653,58939.2633354756,86833.4955896516
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18245,529,17716,17892,464,17428,75621.3363761193,75885.5690820013,55840.3045685279,56414.509394572,89653.583121135,426114.285714286,70026.1044176707,59553.2175398633,68144.417694854,75968.5148925107
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224781,6490,218291,216966,5200,211766,94229.0550792173,100231.332230321,64933.6246287707,78638.0711852461,125555.794217191,103305.950212508,69614.5062039746,92926.6786912221,83378.376977875,100964.117816965
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182041,8888,173153,171388,6243,165145,88562.9883837011,90125.0962373774,63092.1971810384,56841.4673654121,107437.856909273,74683.6869056328,57430.9522254301,75528.2121471343,64281.0646683172,91482.548914819
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45677,1801,43876,42538,1450,41088,59633.694018065,60034.183192637,46007.1413699771,36950.5119453925,95435.5271176112,35823.2258064516,50297.6457399103,49114.7161878066,56403.2005494506,60040.4648893354
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155959,5673,150286,150543,4727,145816,74372.2134669441,76884.2993749204,41232.8124024718,50998.9504917853,88862.2431880265,56119.152854512,48403.7451737452,60574.8818720468,53759.8982123169,77522.6293684929
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15643,491,15152,14186,685,13501,76731.455413335,77700.0603043981,72862.015503876,55939.1982182628,61290.7638888889,102431,60499.373433584,63672.3414516518,61316.6139981273,78826.542103916
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100821,5071,95750,95894,3192,92702,31671.5084827001,33454.8226986767,28898.5140832928,29759.1509913574,25068.3379120879,,25411.6013826809,31834.9482967513,31489.3977063117,52192.9261816251
