Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354951,333534,21417,340532,325159,15373,664418,630467,33951,7150,6277,873,8075,7763,312,9972,9487,485
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644957,1541222,103735,1594210,1499570,94640,1858329,1771588,86741,957901,869908,87993,208116,199217,8899,306660,288307,18353
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911336,1788409,122927,1839192,1737263,101929,3011696,2849577,162119,268549,240717,27832,233263,220224,13039,368917,333926,34991
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550997,2353746,197251,2335501,2171128,164373,3942072,3709087,232985,618361,517426,100935,148319,140697,7622,219288,199141,20147
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580541,1505281,75260,1454072,1398822,55250,2609354,2515399,93955,157112,139782,17330,135915,128913,7002,140048,129930,10118
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684878,625585,59293,654736,596243,58493,813151,763526,49625,483755,419315,64440,14337,13668,669,36678,33567,3111
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575432,1479601,95831,1467880,1387792,80088,2545652,2420647,125005,337766,296938,40828,58149,56166,1983,112167,105571,6596
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277693,262908,14785,245378,235087,10291,477262,457320,19942,2215,2020,195,4054,3837,217,16453,15549,904
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541819,521061,20758,484278,466155,18123,917759,887424,30335,44069,40242,3827,21636,20687,949,94004,87350,6654
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784002,719576,64426,673641,621782,51859,983541,912105,71436,122216,105340,16876,126761,119273,7488,404876,372738,32138
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390927,371315,19612,356063,342109,13954,704339,673420,30919,9587,8749,838,17771,17013,758,23198,21513,1685
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475326,2303491,171835,2240865,2084533,156332,3238923,3044071,194852,616117,540730,75387,452690,429848,22842,911836,843298,68538
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500941,459810,41131,451970,419391,32579,719366,670898,48468,19362,17535,1827,15723,14876,847,446877,410797,36080
